epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9918,1.15323,3.27989,1.22536,0.74559,0.44787,0.56556,0.38344,1.15787,2.77527,1.20619,0.000366351,0.000366351,0.000366351
2,66.314,1.19501,2.16653,1.21415,0.68473,0.54852,0.62133,0.42843,1.23102,2.01794,1.34051,0.000733038,0.000733038,0.000733038
3,96.8936,1.19237,1.822,1.21924,0.56612,0.37366,0.3948,0.26811,1.39699,3.01203,1.53354,0.00109606,0.00109606,0.00109606
4,127.262,1.22216,1.62992,1.24705,0.50971,0.48371,0.50175,0.34545,1.28184,2.01822,1.28526,0.0010945,0.0010945,0.0010945
5,157.595,1.15096,1.39764,1.19715,0.7355,0.66249,0.72679,0.5148,1.159,1.38414,1.22114,0.001089,0.001089,0.001089
6,187.926,1.09859,1.23489,1.17886,0.69375,0.65684,0.70628,0.49669,1.13006,1.41399,1.21387,0.0010835,0.0010835,0.0010835
7,218.189,1.08767,1.14128,1.16079,0.71504,0.62483,0.70932,0.51003,1.16517,1.39502,1.23491,0.001078,0.001078,0.001078
8,248.456,1.06676,1.08406,1.15022,0.81787,0.7326,0.85988,0.61744,1.03245,1.17102,1.12213,0.0010725,0.0010725,0.0010725
9,278.714,1.04703,1.01795,1.14289,0.85156,0.78683,0.87542,0.6425,1.00926,0.96223,1.12655,0.001067,0.001067,0.001067
10,309.034,1.03629,0.97468,1.13437,0.81713,0.74147,0.83028,0.61094,1.05738,1.04728,1.17125,0.0010615,0.0010615,0.0010615
11,339.707,1.03928,0.93886,1.1321,0.80048,0.73595,0.81522,0.58851,1.10873,1.07673,1.20767,0.00105601,0.00105601,0.00105601
12,370.42,1.00128,0.90178,1.11468,0.87534,0.80106,0.88553,0.65381,0.99949,0.95138,1.11811,0.00105051,0.00105051,0.00105051
